id,ps_ind_01,ps_ind_02_cat,ps_ind_03,ps_ind_04_cat,ps_ind_05_cat,ps_ind_06_bin,ps_ind_07_bin,ps_ind_08_bin,ps_ind_09_bin,ps_ind_10_bin,ps_ind_11_bin,ps_ind_12_bin,ps_ind_13_bin,ps_ind_14,ps_ind_15,ps_ind_16_bin,ps_ind_17_bin,ps_ind_18_bin,ps_reg_01,ps_reg_02,ps_reg_03,ps_car_01_cat,ps_car_02_cat,ps_car_03_cat,ps_car_04_cat,ps_car_05_cat,ps_car_06_cat,ps_car_07_cat,ps_car_08_cat,ps_car_09_cat,ps_car_10_cat,ps_car_11_cat,ps_car_11,ps_car_12,ps_car_13,ps_car_14,ps_car_15,ps_calc_01,ps_calc_02,ps_calc_03,ps_calc_04,ps_calc_05,ps_calc_06,ps_calc_07,ps_calc_08,ps_calc_09,ps_calc_10,ps_calc_11,ps_calc_12,ps_calc_13,ps_calc_14,ps_calc_15_bin,ps_calc_16_bin,ps_calc_17_bin,ps_calc_18_bin,ps_calc_19_bin,ps_calc_20_bin,target
28,1,1,2,0,0,0,1,0,0,0,0,0,0,0,4,0,0,1,0.9,1.4,2.316651679,11,0,0,1,0,14,1,1,2,1,104,2,0.447213595,1.458184369,0.390256326,3.605551276,0.7,0.8,0.8,2,2,8,2,9,1,11,3,5,0,6,0,1,0,0,1,0,1
285,0,1,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0.6,0.2,0.556214887,7,1,1,0,0,0,1,0,2,1,23,3,0.4,0.989959929,0.330907842,3.605551276,0.3,0.3,0.6,3,0,6,4,11,0,7,9,2,5,7,0,0,0,0,0,0,1
630,0,1,8,1,0,1,0,0,0,0,0,0,0,0,7,1,0,0,0.4,0,1.173669459,11,1,1,0,0,1,1,0,2,1,65,3,0.316227766,0.784618268,0.289827535,3.605551276,0,0.4,0.6,3,1,6,3,11,1,11,4,1,1,8,1,0,1,0,0,0,1
685,1,1,3,1,0,0,1,0,0,0,0,0,0,0,10,0,0,0,0.9,0.8,1.116635572,11,0,0,0,1,0,1,1,2,1,88,3,0.4,0.815006465,0.332415403,3.16227766,0.8,0.7,0.5,4,3,7,4,9,3,9,6,0,2,9,0,0,1,0,1,1,1
1403,6,1,6,0,0,0,0,1,0,0,0,0,0,0,6,0,1,0,0.9,0.4,0.836286434,11,0,0,9,1,13,1,1,1,1,104,3,0.545160527,0.947986121,0.430116263,2.236067978,0.3,0.2,0.8,3,3,10,5,8,2,6,7,1,7,9,0,0,1,0,0,0,1
1448,6,1,4,0,0,0,0,1,0,0,0,0,0,0,5,0,1,0,0.9,0.5,0.767707627,11,0,0,0,0,7,1,1,2,1,104,3,0.447213595,0.9177992,0.358887169,3.31662479,0.8,0.1,0.9,3,1,8,4,11,5,10,4,3,1,9,0,0,1,0,0,1,1
1684,1,1,9,0,0,0,0,1,0,0,0,0,0,0,8,0,1,0,0.9,0.2,0.554526825,5,1,0,2,0,1,0,1,3,1,104,0,0.360555128,0.686739813,0.316227766,3.16227766,0.7,0.9,0.9,3,0,7,2,11,2,14,3,3,1,7,0,0,1,1,0,0,1
1786,0,2,1,1,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0.8,0.9,1.167797071,7,0,0,0,0,9,1,0,2,1,104,2,0.4,1.04725142,0.316227766,3.741657387,0,0.6,0.6,2,3,7,2,10,2,6,13,3,3,8,1,1,1,0,1,1,1
2204,0,1,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.9,0.4,0.603634823,11,1,0,0,1,1,0,1,2,1,65,3,0.316227766,0.644814023,0.288097206,3.464101615,0.3,0.2,0.5,1,1,8,4,8,4,4,8,1,2,3,0,1,1,1,0,0,1
2404,6,1,2,1,0,0,1,0,0,0,0,0,0,0,3,1,0,0,0.8,0.6,1.224234455,7,0,0,1,0,9,1,1,1,1,61,3,0.447213595,0.991659432,0.381968585,3.31662479,0.3,0.1,0.3,3,4,5,1,12,2,6,4,4,6,13,0,1,1,0,0,0,1
3019,3,1,4,0,0,0,1,0,0,0,0,0,0,0,5,0,1,0,0.6,0.4,0.898262211,11,0,1,0,1,14,1,0,2,1,29,3,0.447213595,1.129890655,0.368374809,3.605551276,0.6,0.3,0.2,3,2,8,6,8,3,8,5,2,2,10,1,1,0,0,0,0,1
3028,0,2,2,1,0,0,1,0,0,0,0,0,0,0,10,1,0,0,0.7,1.1,1.223723825,9,1,1,0,1,11,1,0,2,1,17,2,0.374165739,0.964450771,0.327566787,3.741657387,0.1,0.9,0.7,2,1,8,3,9,5,12,2,0,2,7,0,1,1,0,0,0,1
3066,1,4,8,0,0,0,0,0,1,0,0,0,0,0,12,1,0,0,0.8,0.8,1.218349293,11,1,1,0,0,0,1,1,2,1,23,3,0.4,0.892473117,0.330907842,3.464101615,0.2,0.9,0.2,3,1,9,5,8,3,9,6,1,3,6,0,1,0,0,1,0,1
3513,4,1,9,0,0,0,0,1,0,0,0,0,0,0,12,1,0,0,0.8,1.1,0.997810102,7,0,1,0,1,15,1,0,2,1,5,2,0.447213595,1.277654019,0.325576412,3.741657387,0.9,0.2,0.4,1,4,4,2,9,1,6,3,4,1,6,0,1,0,1,0,0,1
3565,0,2,1,0,0,1,0,0,0,0,0,0,0,0,7,0,1,0,0.5,0.2,0.517204022,5,1,0,0,1,1,0,1,2,1,31,3,0.424264069,0.826535636,0.34176015,3,0,0.7,0.9,4,0,10,1,11,3,11,13,4,3,8,0,1,1,1,0,1,1
3610,6,1,3,0,0,1,0,0,0,0,0,0,0,0,7,0,1,0,0.8,0.3,0.644689848,1,1,1,0,0,1,1,0,2,1,64,3,0.316227766,0.752557623,0.301662063,3.605551276,0.8,0.7,0.2,2,2,9,5,10,3,10,6,2,4,6,0,0,1,0,1,0,1
4070,0,1,6,0,3,1,0,0,0,0,0,0,0,0,5,0,1,0,0.9,0.3,0.661437828,11,1,1,0,0,0,1,0,2,1,87,3,0.316227766,0.808669451,0.294448637,3.605551276,0.5,0.1,0.8,4,4,8,2,9,3,14,4,2,3,5,0,1,0,0,0,0,1
4231,0,1,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.8,0.3,0.806225775,11,1,0,0,0,15,1,1,2,1,63,2,0.387298335,0.878449517,0.319374389,3.605551276,0.7,0.4,0.6,3,4,5,2,9,2,15,9,1,4,6,0,1,1,0,0,0,1
4338,0,2,1,1,0,0,0,0,1,0,0,0,0,0,6,1,0,0,0.8,0.8,1.109617051,11,1,1,0,0,11,1,0,0,1,103,1,0.316227766,0.715486889,0.288790582,3.741657387,0.7,0.8,0.4,3,1,7,3,9,2,1,5,0,5,5,0,0,1,0,1,1,1
4545,7,1,9,1,0,1,0,0,0,0,0,0,0,0,4,1,0,0,0.9,1.3,1.55623745,11,0,1,0,1,10,1,1,0,1,55,2,0.424264069,1.101389055,0.358608422,3.605551276,0.4,0.2,0.9,2,1,10,3,9,1,11,6,0,5,9,0,0,1,0,0,0,1
5639,1,1,11,0,0,0,0,0,1,0,0,0,0,0,12,1,0,0,0.8,0.3,0.838525492,7,1,1,0,0,4,1,1,2,1,84,3,0.316227766,0.692879964,0.320156212,3.31662479,0.9,0.3,0.2,1,0,8,3,10,2,4,5,2,4,3,0,0,0,1,0,0,1
5710,0,2,2,0,3,1,0,0,0,0,0,0,0,0,7,1,0,0,0.9,0.5,0.977880361,11,0,1,0,0,11,1,0,2,1,36,3,0.374165739,0.995049731,0.319061123,3.741657387,0.6,0.6,0,3,1,10,3,10,2,8,3,2,2,3,0,0,1,1,0,1,1
5731,1,1,6,1,1,0,1,0,0,0,0,0,0,0,10,0,0,0,0.7,0.9,1.067122299,11,1,1,0,1,14,1,1,2,1,60,1,0.316227766,0.630049847,0.307083051,3.16227766,0,0.3,0.4,2,4,8,1,10,4,7,7,2,2,4,1,1,0,0,1,1,1
5740,1,1,7,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0.9,1.2,0.990896059,11,0,0,9,1,15,1,1,1,1,58,3,0.547722558,1.376177182,0.435889894,2.645751311,0.2,0.6,0.7,2,3,8,5,9,2,8,2,0,4,6,0,1,1,1,0,0,1
5898,0,1,7,0,0,0,1,0,0,0,0,0,0,0,4,1,0,0,0.9,0.1,0.523211238,7,1,1,1,0,12,1,0,2,1,104,2,0.387298335,1.025682599,0.372155881,3.605551276,0.1,0.9,0.7,4,5,6,4,11,2,8,5,0,3,9,0,1,0,0,0,0,1
6045,1,2,1,0,0,1,0,0,0,0,0,0,0,0,10,0,0,0,0.3,0,0.780224327,4,0,0,0,1,11,1,1,2,1,44,3,0.447213595,0.777591641,0.339116499,3,0.5,0.9,0.1,2,0,10,3,12,1,6,2,0,1,7,0,1,1,0,0,0,1
6095,1,1,7,0,0,1,0,0,0,0,0,0,0,0,12,1,0,0,0.9,0.3,0.606217783,3,0,1,0,0,1,1,0,2,1,70,3,0.424264069,1.013187834,0.345543051,3.605551276,0.7,0.2,0.9,3,1,10,3,10,1,10,7,3,3,10,0,1,0,0,0,0,1
6240,2,1,2,0,0,0,0,1,0,0,0,0,0,0,6,0,1,0,0.4,0,0.897217922,11,0,1,1,0,16,1,0,2,1,104,2,0.4,1.224323055,0.388587185,3.741657387,0.2,0.7,0.2,2,3,9,4,8,5,9,7,0,2,8,0,1,1,1,0,0,1
6677,4,1,2,0,0,0,1,0,0,0,0,0,0,0,6,0,1,0,0.9,1.8,1.781852968,11,0,1,9,1,17,1,1,0,1,104,3,0.447213595,1.425005437,0.397492138,3.464101615,0.5,0.7,0.1,2,1,7,1,12,5,9,4,2,3,7,0,0,1,0,0,0,1
